Pattern_1,Pattern_2,Pattern_3,Pattern_4,Pattern_5,Pattern_6,Pattern_7,Pattern_8,Pattern_9,Pattern_10,Matches, Cert,Flight,Units,testing, complete,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,0.4
year,review,fy18,note,unique,,,,,,0.5,,,,,,,,,,,
testing,available,work,gcd,management,determine,budget,tbd,fy21,mid,0.5,,,,,,,,,,,
schedule,uid,completion,l/c,additional,purchasing,risk,lapse,equipment,fast-track,0.5,,,,,,,,,,,
effort,pre-ordering,much,reasonable,mitigation,dollar,implement,trigger/,start,date,0.5,,,,,,,,,,,
option,activity,capability,simplify,purification,step,enable,rapid,concern,impact,0.5,,,,,,,,,,,
lieu,production,commercial,off-the-shelf,subsystem,laboratory,strain,vendor,test,secretion,0.5,,,,,,,,,,,
experiment,drive,decision,status,team,march,expect,remain,covid,restriction,0.5,,,,,,,,,,,
context,approach,mitigate,project,ames,system,microbial,organism,engineering,integrated,0.5,,,,,,,,,,,
bioreactor,design,platform,new,product,development,decrease,overall,optimization,co2-,0.5,,,,,,,,,,,
delay,supply,chain,p-card,issue,possibility,analysis,optimize,co2-based,manufacturing,0.5,,,,,,,,,,,
statement,co2,element,access,lab,facility,covid-19,safety,precaution,procurement,0.5,,,,,,,,,,,
trend,criticality,low,current,l/c,affinity,group,technical,,,0.5,,,,,,,,,,,
trouble,stowage,return,sample,i,unchanged,context,status,risk,bn-4,0.5,,,,,,,,,,,
specific,concern,regular,communication,payload,integration,management,expectation,meet,timeline,0.5,,,,,,,,,,,
prone,alteration,mechanical,issues/delays,event,availability,prioritization,factor,significant,date,0.5,,,,,,,,,,,
impact,orbit,production,result,fidelity,point,overall,understanding,system,performance,0.5,,,,,,,,,,,
statement,approach,launch,crew,time,schedule,subject,unpredictable,change,misalignment,0.5,,,,,,,,,,,
year,review,fy18,note,unique,,,,,,0.5,,,,,,,,,,,
testing,available,work,gcd,management,determine,budget,tbd,fy21,mid,0.5,,,,,,,,,,,
schedule,uid,completion,l/c,additional,purchasing,risk,lapse,equipment,fast-track,0.5,,,,,,,,,,,
effort,pre-ordering,much,reasonable,mitigation,dollar,implement,trigger/,start,date,0.5,,,,,,,,,,,
option,activity,capability,simplify,purification,step,enable,rapid,concern,impact,0.5,,,,,,,,,,,
